price_day_person,location,capacity,bedroom_num,beds_num
27€ pers./noche (aprox),Grado,"2 - 
  7 personas",3 dormitorios,5 camas
19€ pers./noche (aprox),Llanes,"8 - 
  10 personas",4 dormitorios,9 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  24 personas",24 camas,22€ pers./noche (aprox)
33€ pers./noche (aprox),Belmonte de Miranda,"2 - 
  36 personas",16 dormitorios,25 camas
23€ pers./noche (aprox),Villaviciosa,"2 - 
  16 personas",8 dormitorios,13 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  21 personas",16 dormitorios,16 camas
22€ pers./noche (aprox),Cabrales,6 personas,3 camas,22€ pers./noche (aprox)
30€ pers./noche (aprox),Llanes,"8 - 
  20 personas",10 dormitorios,16 camas
23€ pers./noche (aprox),Coaña,"2 - 
  25 personas",9 dormitorios,18 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  14 personas",2 dormitorios,9 camas
25€ pers./noche (aprox),Cangas de Onís,"6 - 
  14 personas",6 dormitorios,13 camas
26€ pers./noche (aprox),Cangas de Onís,"4 - 
  18 personas",8 dormitorios,14 camas
20€ pers./noche (aprox),Valdés,"5 - 
  10 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  10 personas",3 dormitorios,7 camas
22€ pers./noche (aprox),Nava,"2 - 
  3 personas",2 dormitorios,2 camas
37€ pers./noche (aprox),Ribadesella,"2 - 
  22 personas",8 dormitorios,19 camas
17€ pers./noche (aprox),Piloña,"4 - 
  11 personas",4 dormitorios,8 camas
35€ pers./noche (aprox),Valdés,"2 - 
  14 personas",5 dormitorios,11 camas
23€ pers./noche (aprox),Ribadesella,"2 - 
  8 personas",3 dormitorios,7 camas
16€ pers./noche (aprox),Llanes,"4 - 
  12 personas",6 dormitorios,16 camas
27€ pers./noche (aprox),Grado,"2 - 
  7 personas",3 dormitorios,5 camas
19€ pers./noche (aprox),Llanes,"8 - 
  10 personas",4 dormitorios,9 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  24 personas",24 camas,22€ pers./noche (aprox)
33€ pers./noche (aprox),Belmonte de Miranda,"2 - 
  36 personas",16 dormitorios,25 camas
23€ pers./noche (aprox),Villaviciosa,"2 - 
  16 personas",8 dormitorios,13 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  21 personas",16 dormitorios,16 camas
22€ pers./noche (aprox),Cabrales,6 personas,3 camas,22€ pers./noche (aprox)
30€ pers./noche (aprox),Llanes,"8 - 
  20 personas",10 dormitorios,16 camas
23€ pers./noche (aprox),Coaña,"2 - 
  25 personas",9 dormitorios,18 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  14 personas",2 dormitorios,9 camas
25€ pers./noche (aprox),Cangas de Onís,"6 - 
  14 personas",6 dormitorios,13 camas
26€ pers./noche (aprox),Cangas de Onís,"4 - 
  18 personas",8 dormitorios,14 camas
20€ pers./noche (aprox),Valdés,"5 - 
  10 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  10 personas",3 dormitorios,7 camas
22€ pers./noche (aprox),Nava,"2 - 
  3 personas",2 dormitorios,2 camas
37€ pers./noche (aprox),Ribadesella,"2 - 
  22 personas",8 dormitorios,19 camas
17€ pers./noche (aprox),Piloña,"4 - 
  11 personas",4 dormitorios,8 camas
35€ pers./noche (aprox),Valdés,"2 - 
  14 personas",5 dormitorios,11 camas
23€ pers./noche (aprox),Ribadesella,"2 - 
  8 personas",3 dormitorios,7 camas
16€ pers./noche (aprox),Llanes,"4 - 
  12 personas",6 dormitorios,16 camas
18€ pers./noche (aprox),Ribadesella,12 personas,8 camas,18€ pers./noche (aprox)
15€ pers./noche (aprox),Villaviciosa,"1 - 
  10 personas",4 dormitorios,8 camas
10€ pers./noche (aprox),Villaviciosa,"2 - 
  12 personas",5 dormitorios,10 camas
19€ pers./noche (aprox),Cangas de Onís,"5 - 
  6 personas",3 dormitorios,5 camas
19€ pers./noche (aprox),Teverga,"1 - 
  25 personas",8 dormitorios,23 camas
15€ pers./noche (aprox),Grado,"8 - 
  14 personas",7 dormitorios,11 camas
18€ pers./noche (aprox),Onís,"1 - 
  33 personas",16 dormitorios,20 camas
23€ pers./noche (aprox),Cudillero,8 personas,1 dormitorio,6 camas
31€ pers./noche (aprox),Lena,Íntegro o habitaciones,"2 - 
  51 personas",6 dormitorios
14€ pers./noche (aprox),Somiedo,4 personas,4 camas,14€ pers./noche (aprox)
25€ pers./noche (aprox),Llanes,"2 - 
  14 personas",8 dormitorios,11 camas
27€ pers./noche (aprox),Llanes,"2 - 
  14 personas",11 camas,27€ pers./noche (aprox)
25€ pers./noche (aprox),Marinas,"10 - 
  28 personas",12 dormitorios,28 camas
34€ pers./noche (aprox),Cangas de Onís,"1 - 
  13 personas",3 dormitorios,8 camas
30€ pers./noche (aprox),Proaza,"1 - 
  3 personas",1 dormitorio,2 camas
33€ pers./noche (aprox),Vegadeo,Íntegro o habitaciones,"2 - 
  28 personas",12 dormitorios
14€ pers./noche (aprox),Cangas de Onís,"4 - 
  8 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Ribadesella,"4 - 
  8 personas",4 dormitorios,6 camas
23€ pers./noche (aprox),Llanes,"8 - 
  8 personas",4 dormitorios,6 camas
20€ pers./noche (aprox),Quirós,"5 - 
  7 personas",3 dormitorios,5 camas
27€ pers./noche (aprox),Villanueva de Oscos,"2 - 
  13 personas",2 dormitorios,8 camas
34€ pers./noche (aprox),Piloña,"12 - 
  12 personas",6 dormitorios,13 camas
35€ pers./noche (aprox),Cangas del Narcea,Íntegro o habitaciones,"1 - 
  52 personas",21 dormitorios
28€ pers./noche (aprox),Llanes,6 personas,3 dormitorios,4 camas
35€ pers./noche (aprox),Llanes,Íntegro o habitaciones,"1 - 
  20 personas",10 dormitorios
22€ pers./noche (aprox),Llanes,"10 - 
  40 personas",20 dormitorios,36 camas
21€ pers./noche (aprox),Cangas de Onís,"2 - 
  28 personas",10 dormitorios,20 camas
13€ pers./noche (aprox),Cudillero,"4 - 
  36 personas",18 dormitorios,27 camas
24€ pers./noche (aprox),Pravia,"2 - 
  10 personas",5 dormitorios,7 camas
29€ pers./noche (aprox),Llanes,"1 - 
  39 personas",12 dormitorios,30 camas
20€ pers./noche (aprox),Llanes,"4 - 
  20 personas",10 dormitorios,15 camas
21€ pers./noche (aprox),Colunga,"2 - 
  18 personas",7 dormitorios,13 camas
21€ pers./noche (aprox),Cabranes,"2 - 
  13 personas",10 camas,21€ pers./noche (aprox)
24€ pers./noche (aprox),Villaviciosa,"10 - 
  16 personas",7 dormitorios,12 camas
20€ pers./noche (aprox),Amieva,"10 - 
  12 personas",5 dormitorios,10 camas
95€ pers./noche (aprox),Teverga,"1 - 
  4 personas",1 dormitorio,2 camas
25€ pers./noche (aprox),Cangas de Onís,"2 - 
  13 personas",5 dormitorios,11 camas
32€ pers./noche (aprox),Cangas de Onís,15 personas,7 dormitorios,10 camas
25€ pers./noche (aprox),Oviedo,"2 - 
  20 personas",9 dormitorios,16 camas
33€ pers./noche (aprox),Ribadesella,"2 - 
  18 personas",13 camas,33€ pers./noche (aprox)
32€ pers./noche (aprox),Ribadesella,"2 - 
  27 personas",25 dormitorios,22 camas
27€ pers./noche (aprox),Ribadesella,"2 - 
  18 personas",9 dormitorios,12 camas
15€ pers./noche (aprox),Cabrales,14 personas,7 dormitorios,9 camas
18€ pers./noche (aprox),Santa Eulalia de Oscos,"4 - 
  16 personas",2 dormitorios,10 camas
15€ pers./noche (aprox),Santa Eulalia de Oscos,"4 - 
  10 personas",10 camas,15€ pers./noche (aprox)
23€ pers./noche (aprox),Llanes,Íntegro o habitaciones,"2 - 
  15 personas",5 dormitorios
21€ pers./noche (aprox),Cudillero,"1 - 
  24 personas",7 dormitorios,14 camas
23€ pers./noche (aprox),Cangas de Onís,6 personas,4 camas,23€ pers./noche (aprox)
27€ pers./noche (aprox),San Juan de la Arena,Íntegro o habitaciones,"4 - 
  93 personas",67 dormitorios
22€ pers./noche (aprox),Pravia,"2 - 
  24 personas",8 dormitorios,16 camas
17€ pers./noche (aprox),Cadavedo,43 personas,8 dormitorios,32 camas
21€ pers./noche (aprox),Teverga,"1 - 
  5 personas",4 dormitorios,5 camas
27€ pers./noche (aprox),Llanes,"2 - 
  14 personas",7 dormitorios,14 camas
25€ pers./noche (aprox),Villaviciosa,"2 - 
  28 personas",6 dormitorios,23 camas
27€ pers./noche (aprox),Llanes,"2 - 
  19 personas",7 dormitorios,13 camas
16€ pers./noche (aprox),Cangas de Onís,"4 - 
  6 personas",3 dormitorios,5 camas
22€ pers./noche (aprox),Morcín,"4 - 
  20 personas",8 dormitorios,17 camas
35€ pers./noche (aprox),Valdés,"2 - 
  12 personas",2 dormitorios,10 camas
24€ pers./noche (aprox),Soto del Barco,"4 - 
  10 personas",10 dormitorios,9 camas
25€ pers./noche (aprox),Ribadesella,14 personas,6 dormitorios,10 camas
36€ pers./noche (aprox),Cudillero,"1 - 
  30 personas",14 dormitorios,21 camas
30€ pers./noche (aprox),Sobrescobio,"2 - 
  13 personas",5 dormitorios,9 camas
19€ pers./noche (aprox),Ribadesella,"2 - 
  10 personas",6 dormitorios,8 camas
27€ pers./noche (aprox),Llanes,"2 - 
  18 personas",8 dormitorios,13 camas
26€ pers./noche (aprox),Cabrales,"2 - 
  15 personas",1 dormitorio,13 camas
18€ pers./noche (aprox),Llanes,"9 - 
  11 personas",4 dormitorios,9 camas
16€ pers./noche (aprox),Cangas de Onís,"4 - 
  12 personas",8 camas,16€ pers./noche (aprox)
24€ pers./noche (aprox),Luarca,29 personas,22 camas,24€ pers./noche (aprox)
26€ pers./noche (aprox),Llanes,8 personas,4 dormitorios,6 camas
18€ pers./noche (aprox),Cangas de Onís,"2 - 
  10 personas",5 dormitorios,8 camas
18€ pers./noche (aprox),Piloña,"8 - 
  8 personas",4 dormitorios,4 camas
24€ pers./noche (aprox),Cangas de Onís,"2 - 
  6 personas",3 dormitorios,5 camas
27€ pers./noche (aprox),Gijón,"1 - 
  15 personas",6 dormitorios,14 camas
28€ pers./noche (aprox),Taramundi,"2 - 
  18 personas",12 dormitorios,9 camas
26€ pers./noche (aprox),Tineo,"2 - 
  15 personas",6 dormitorios,12 camas
19€ pers./noche (aprox),Quirós,"1 - 
  15 personas",9 dormitorios,12 camas
23€ pers./noche (aprox),Llanes,"4 - 
  24 personas",16 camas,23€ pers./noche (aprox)
28€ pers./noche (aprox),Villaviciosa,"2 - 
  14 personas",7 dormitorios,14 camas
16€ pers./noche (aprox),Cangas de Onís,"4 - 
  8 personas",4 dormitorios,6 camas
29€ pers./noche (aprox),Villaviciosa,"2 - 
  14 personas",15 dormitorios,10 camas
29€ pers./noche (aprox),Pendueles,Íntegro o habitaciones,"2 - 
  21 personas",7 dormitorios
22€ pers./noche (aprox),Parres,"8 - 
  10 personas",4 dormitorios,7 camas
30€ pers./noche (aprox),Cadavedo,"2 - 
  15 personas",5 dormitorios,13 camas
31€ pers./noche (aprox),Taramundi,"2 - 
  18 personas",9 dormitorios,9 camas
32€ pers./noche (aprox),Llanes,6 personas,3 dormitorios,4 camas
21€ pers./noche (aprox),Llanes,"1 - 
  8 personas",4 dormitorios,8 camas
16€ pers./noche (aprox),Llanes,"8 - 
  8 personas",4 dormitorios,6 camas
17€ pers./noche (aprox),Llanes,"6 - 
  16 personas",8 dormitorios,13 camas
22€ pers./noche (aprox),Llanes,"4 - 
  5 personas",2 dormitorios,4 camas
23€ pers./noche (aprox),Llanes,"4 - 
  22 personas",2 dormitorios,16 camas
28€ pers./noche (aprox),Llanes,10 personas,5 dormitorios,7 camas
20€ pers./noche (aprox),Poo de Cabrales,"2 - 
  27 personas",15 dormitorios,15 camas
20€ pers./noche (aprox),Cangas de Onís,10 personas,5 dormitorios,9 camas
19€ pers./noche (aprox),Somiedo,4 personas,3 camas,19€ pers./noche (aprox)
16€ pers./noche (aprox),Ribadesella,12 personas,6 dormitorios,8 camas
20€ pers./noche (aprox),Peñamellera Baja,"2 - 
  8 personas",2 dormitorios,6 camas
27€ pers./noche (aprox),Llanes,"1 - 
  6 personas",3 camas,27€ pers./noche (aprox)
48€ pers./noche (aprox),Ribadesella,"1 - 
  13 personas",5 dormitorios,9 camas
27€ pers./noche (aprox),Pravia,"2 - 
  9 personas",3 dormitorios,6 camas
24€ pers./noche (aprox),Villaviciosa,"3 - 
  28 personas",7 dormitorios,18 camas
25€ pers./noche (aprox),Llanes,6 personas,3 dormitorios,4 camas
26€ pers./noche (aprox),Cangas del Narcea,Íntegro o habitaciones,"1 - 
  24 personas",7 dormitorios
24€ pers./noche (aprox),Lena,"2 - 
  21 personas",6 dormitorios,16 camas
35€ pers./noche (aprox),Villaviciosa,"2 - 
  21 personas",14 camas,35€ pers./noche (aprox)
31€ pers./noche (aprox),Proaza,"2 - 
  10 personas",5 dormitorios,11 camas
15€ pers./noche (aprox),Muros de Nalón,"2 - 
  20 personas",13 camas,15€ pers./noche (aprox)
18€ pers./noche (aprox),Luarca,"4 - 
  22 personas",10 dormitorios,17 camas
30€ pers./noche (aprox),Llanes,"10 - 
  18 personas",7 dormitorios,18 camas
16€ pers./noche (aprox),Navia,12 personas,9 camas,16€ pers./noche (aprox)
24€ pers./noche (aprox),Cangas del Narcea,"2 - 
  18 personas",7 dormitorios,13 camas
12€ pers./noche (aprox),Llanes,"2 - 
  6 personas",3 dormitorios,4 camas
21€ pers./noche (aprox),Navia,"2 - 
  16 personas",6 dormitorios,13 camas
12€ pers./noche (aprox),Cangas de Onís,"1 - 
  7 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  12 personas",6 dormitorios,8 camas
24€ pers./noche (aprox),Santa Eulalia de Oscos,"1 - 
  18 personas",6 dormitorios,12 camas
25€ pers./noche (aprox),Muros de Nalón,"2 - 
  54 personas",43 dormitorios,31 camas
21€ pers./noche (aprox),Ribadesella,"2 - 
  11 personas",5 dormitorios,6 camas
22€ pers./noche (aprox),Carreño,"10 - 
  15 personas",7 dormitorios,12 camas
20€ pers./noche (aprox),Cangas de Onís,"1 - 
  29 personas",11 dormitorios,23 camas
18€ pers./noche (aprox),Nava,11 personas,3 dormitorios,10 camas
23€ pers./noche (aprox),Llanes,"4 - 
  24 personas",2 dormitorios,18 camas
22€ pers./noche (aprox),Santa Eulalia de Oscos,"2 - 
  23 personas",16 camas,22€ pers./noche (aprox)
60€ pers./noche (aprox),Villanueva de Oscos,"2 - 
  12 personas",6 camas,60€ pers./noche (aprox)
26€ pers./noche (aprox),Cangas de Onís,"1 - 
  6 personas",2 dormitorios,5 camas
24€ pers./noche (aprox),Cangas de Onís,"2 - 
  14 personas",6 dormitorios,10 camas
29€ pers./noche (aprox),Llanes,"1 - 
  12 personas",4 dormitorios,8 camas
14€ pers./noche (aprox),Somiedo,23 personas,19 camas,14€ pers./noche (aprox)
26€ pers./noche (aprox),Llanes,"1 - 
  4 personas",2 dormitorios,3 camas
17€ pers./noche (aprox),Llanes,"1 - 
  7 personas",5 dormitorios,5 camas
22€ pers./noche (aprox),Ribadesella,"6 - 
  6 personas",3 dormitorios,4 camas
26€ pers./noche (aprox),Cangas de Onís,"2 - 
  10 personas",5 dormitorios,5 camas
28€ pers./noche (aprox),Cangas del Narcea,"2 - 
  8 personas",4 dormitorios,6 camas
23€ pers./noche (aprox),Cudillero,"4 - 
  33 personas",7 dormitorios,13 camas
17€ pers./noche (aprox),Castropol,"1 - 
  13 personas",8 dormitorios,8 camas
17€ pers./noche (aprox),Siero,"5 - 
  11 personas",6 dormitorios,8 camas
21€ pers./noche (aprox),Piloña,"2 - 
  43 personas",16 dormitorios,35 camas
23€ pers./noche (aprox),Tapia de Casariego,"2 - 
  18 personas",9 dormitorios,12 camas
19€ pers./noche (aprox),Cabrales,"2 - 
  20 personas",10 dormitorios,15 camas
22€ pers./noche (aprox),Ribadesella,6 personas,3 dormitorios,7 camas
27€ pers./noche (aprox),Llanes,8 personas,4 dormitorios,6 camas
28€ pers./noche (aprox),Muros de Nalón,"4 - 
  9 personas",4 dormitorios,7 camas
25€ pers./noche (aprox),Santa Eulalia de Oscos,"2 - 
  6 personas",4 camas,25€ pers./noche (aprox)
15€ pers./noche (aprox),Oviedo,"5 - 
  6 personas",4 dormitorios,5 camas
21€ pers./noche (aprox),Soto del Barco,"4 - 
  20 personas",11 camas,21€ pers./noche (aprox)
15€ pers./noche (aprox),Soto del Barco,"1 - 
  6 personas",3 dormitorios,5 camas
26€ pers./noche (aprox),Cudillero,"2 - 
  17 personas",8 dormitorios,10 camas
16€ pers./noche (aprox),Cabrales,"6 - 
  19 personas",6 dormitorios,12 camas
24€ pers./noche (aprox),Cangas de Onís,Íntegro o habitaciones,"1 - 
  7 personas",3 dormitorios
15€ pers./noche (aprox),Llanes,"2 - 
  10 personas",5 dormitorios,6 camas
28€ pers./noche (aprox),Cudillero,"1 - 
  21 personas",19 camas,28€ pers./noche (aprox)
22€ pers./noche (aprox),Cudillero,"2 - 
  20 personas",10 dormitorios,12 camas
18€ pers./noche (aprox),Ribadesella,"10 - 
  12 personas",6 dormitorios,9 camas
25€ pers./noche (aprox),Llanes,"4 - 
  9 personas",4 dormitorios,7 camas
22€ pers./noche (aprox),Cudillero,Íntegro o habitaciones,"1 - 
  34 personas",22 camas
27€ pers./noche (aprox),Cadavedo,"4 - 
  38 personas",25 dormitorios,31 camas
25€ pers./noche (aprox),Teverga,"2 - 
  32 personas",17 dormitorios,24 camas
36€ pers./noche (aprox),Taramundi,"2 - 
  16 personas",2 dormitorios,11 camas
27€ pers./noche (aprox),Cangas de Onís,"2 - 
  4 personas",20 dormitorios,4 camas
15€ pers./noche (aprox),Colunga,8 personas,4 dormitorios,6 camas
17€ pers./noche (aprox),Llanes,"2 - 
  8 personas",4 dormitorios,6 camas
28€ pers./noche (aprox),Morcín,"2 - 
  32 personas",14 dormitorios,19 camas
26€ pers./noche (aprox),Cofiño,"2 - 
  21 personas",7 dormitorios,13 camas
24€ pers./noche (aprox),Cangas del Narcea,"4 - 
  23 personas",21 camas,24€ pers./noche (aprox)
25€ pers./noche (aprox),Villaviciosa,6 personas,3 dormitorios,6 camas
21€ pers./noche (aprox),Ribadesella,4 personas,2 dormitorios,3 camas
26€ pers./noche (aprox),Agüerina,"2 - 
  6 personas",3 dormitorios,4 camas
24€ pers./noche (aprox),Pravia,"8 - 
  13 personas",4 dormitorios,9 camas
23€ pers./noche (aprox),Llanes,Íntegro o habitaciones,"1 - 
  5 personas",3 dormitorios
37€ pers./noche (aprox),Tol,"1 - 
  36 personas",12 dormitorios,32 camas
21€ pers./noche (aprox),Piloña,"8 - 
  12 personas",5 dormitorios,7 camas
22€ pers./noche (aprox),Navia,"4 - 
  10 personas",3 dormitorios,7 camas
20€ pers./noche (aprox),Gozón,"1 - 
  15 personas",3 dormitorios,9 camas
30€ pers./noche (aprox),Llanes,"1 - 
  9 personas",6 dormitorios,9 camas
14€ pers./noche (aprox),Los Carriles,"2 - 
  32 personas",6 dormitorios,24 camas
22€ pers./noche (aprox),Ribadesella,"2 - 
  5 personas",2 dormitorios,3 camas
25€ pers./noche (aprox),Llanes,16 personas,6 dormitorios,12 camas
16€ pers./noche (aprox),Cangas de Onís,"2 - 
  6 personas",3 dormitorios,6 camas
22€ pers./noche (aprox),Ribadesella,"2 - 
  6 personas",3 dormitorios,menos de20 € pers. noche aprox
25€ pers./noche (aprox),Llanes,"2 - 
  39 personas",7 dormitorios,32 camas
17€ pers./noche (aprox),Llanes,8 personas,6 camas,17€ pers./noche (aprox)
17€ pers./noche (aprox),Ribadesella,"2 - 
  5 personas",3 dormitorios,4 camas
19€ pers./noche (aprox),Castropol,"4 - 
  16 personas",8 dormitorios,13 camas
19€ pers./noche (aprox),Cangas de Onís,6 personas,4 dormitorios,5 camas
