,price_day_person,location,capacity,bedroom_num,beds_num
0,28€ pers./noche (aprox),Lleida,"1 - 
  14 personas",6 dormitorios,11 camas
1,18€ pers./noche (aprox),Les Esglésies,"2 - 
  18 personas",5 dormitorios,13 camas
2,30€ pers./noche (aprox),Bellver d'Ossó,"4 - 
  21 personas",6 dormitorios,21 camas
3,39€ pers./noche (aprox),Guardiola (Bassella),"1 - 
  15 personas",8 dormitorios,11 camas
4,25€ pers./noche (aprox),Guixers,"2 - 
  8 personas",3 dormitorios,7 camas
5,23€ pers./noche (aprox),Montgai,"10 - 
  18 personas",6 dormitorios,16 camas
6,38€ pers./noche (aprox),Fonolleres,"1 - 
  12 personas",6 dormitorios,7 camas
7,38€ pers./noche (aprox),Montornès de Segarra,"2 - 
  15 personas",5 dormitorios,13 camas
8,28€ pers./noche (aprox),Castellnou d'Ossó,"2 - 
  17 personas",6 dormitorios,14 camas
9,30€ pers./noche (aprox),Guimerà,"2 - 
  12 personas",4 dormitorios,8 camas
10,34€ pers./noche (aprox),Argestues,"2 - 
  20 personas",7 dormitorios,14 camas
11,27€ pers./noche (aprox),Clariana de Cardener,"4 - 
  12 personas",4 dormitorios,14 camas
12,26€ pers./noche (aprox),Odèn,"12 - 
  15 personas",6 dormitorios,13 camas
13,29€ pers./noche (aprox),Castellar de la Ribera,8 personas,4 dormitorios,8 camas
14,31€ pers./noche (aprox),Lloberola,"10 - 
  24 personas",8 dormitorios,19 camas
15,31€ pers./noche (aprox),Coscó,"8 - 
  17 personas",7 dormitorios,10 camas
16,30€ pers./noche (aprox),Tavascan,"6 - 
  13 personas",7 dormitorios,16 camas
17,23€ pers./noche (aprox),Odèn,"4 - 
  8 personas",3 dormitorios,6 camas
18,25€ pers./noche (aprox),Erdo,"10 - 
  28 personas",9 dormitorios,20 camas
19,29€ pers./noche (aprox),Barbens,9 personas,4 dormitorios,8 camas
20,28€ pers./noche (aprox),Lleida,"1 - 
  14 personas",6 dormitorios,11 camas
21,18€ pers./noche (aprox),Les Esglésies,"2 - 
  18 personas",5 dormitorios,13 camas
22,30€ pers./noche (aprox),Bellver d'Ossó,"4 - 
  21 personas",6 dormitorios,21 camas
23,39€ pers./noche (aprox),Guardiola (Bassella),"1 - 
  15 personas",8 dormitorios,11 camas
24,25€ pers./noche (aprox),Guixers,"2 - 
  8 personas",3 dormitorios,7 camas
25,23€ pers./noche (aprox),Montgai,"10 - 
  18 personas",6 dormitorios,16 camas
26,38€ pers./noche (aprox),Fonolleres,"1 - 
  12 personas",6 dormitorios,7 camas
27,38€ pers./noche (aprox),Montornès de Segarra,"2 - 
  15 personas",5 dormitorios,13 camas
28,28€ pers./noche (aprox),Castellnou d'Ossó,"2 - 
  17 personas",6 dormitorios,14 camas
29,30€ pers./noche (aprox),Guimerà,"2 - 
  12 personas",4 dormitorios,8 camas
30,34€ pers./noche (aprox),Argestues,"2 - 
  20 personas",7 dormitorios,14 camas
31,27€ pers./noche (aprox),Clariana de Cardener,"4 - 
  12 personas",4 dormitorios,14 camas
32,26€ pers./noche (aprox),Odèn,"12 - 
  15 personas",6 dormitorios,13 camas
33,29€ pers./noche (aprox),Castellar de la Ribera,8 personas,4 dormitorios,8 camas
34,31€ pers./noche (aprox),Lloberola,"10 - 
  24 personas",8 dormitorios,19 camas
35,31€ pers./noche (aprox),Coscó,"8 - 
  17 personas",7 dormitorios,10 camas
36,30€ pers./noche (aprox),Tavascan,"6 - 
  13 personas",7 dormitorios,16 camas
37,23€ pers./noche (aprox),Odèn,"4 - 
  8 personas",3 dormitorios,6 camas
38,25€ pers./noche (aprox),Erdo,"10 - 
  28 personas",9 dormitorios,20 camas
39,29€ pers./noche (aprox),Barbens,9 personas,4 dormitorios,8 camas
40,26€ pers./noche (aprox),La Baronia de Rialb,"1 - 
  16 personas",8 dormitorios,10 camas
41,24€ pers./noche (aprox),Aravell,"4 - 
  22 personas",17 camas,24€ pers./noche (aprox)
42,24€ pers./noche (aprox),Pujol,Íntegro o habitaciones,"10 - 
  23 personas",7 dormitorios
43,33€ pers./noche (aprox),Barruera,Íntegro o habitaciones,"2 - 
  20 personas",1 dormitorio
44,42€ pers./noche (aprox),Coll de Nargó,"2 - 
  8 personas",6 dormitorios,6 camas
45,24€ pers./noche (aprox),Odèn,"1 - 
  18 personas",2 dormitorios,15 camas
46,27€ pers./noche (aprox),Montgai,"10 - 
  16 personas",6 dormitorios,12 camas
47,41€ pers./noche (aprox),Torà,"16 - 
  28 personas",9 dormitorios,22 camas
48,14€ pers./noche (aprox),Martinet,8 personas,4 dormitorios,5 camas
49,20€ pers./noche (aprox),Montcortès,6 personas,3 dormitorios,3 camas
50,39€ pers./noche (aprox),Ribelles,17 personas,8 dormitorios,12 camas
51,47€ pers./noche (aprox),La Guàrdia d'Urgell,Íntegro o habitaciones,"1 - 
  23 personas",7 dormitorios
52,29€ pers./noche (aprox),Nalec,10 personas,2 dormitorios,6 camas
53,26€ pers./noche (aprox),Su,"4 - 
  14 personas",9 camas,26€ pers./noche (aprox)
54,25€ pers./noche (aprox),Sant Ramon,"10 - 
  27 personas",7 dormitorios,23 camas
55,30€ pers./noche (aprox),Bellpui,"6 - 
  10 personas",5 dormitorios,9 camas
56,30€ pers./noche (aprox),Lloberola,"6 - 
  47 personas",36 camas,30€ pers./noche (aprox)
57,32€ pers./noche (aprox),Cubells,"4 - 
  9 personas",4 dormitorios,8 camas
58,25€ pers./noche (aprox),Llesp,"8 - 
  12 personas",5 dormitorios,10 camas
59,34€ pers./noche (aprox),La Baronia de Rialb,"1 - 
  18 personas",9 dormitorios,15 camas
60,44€ pers./noche (aprox),Vinaixa,"1 - 
  10 personas",4 dormitorios,7 camas
61,45€ pers./noche (aprox),Ossó de Sió,"10 - 
  17 personas",8 dormitorios,12 camas
62,25€ pers./noche (aprox),Lloberola,"4 - 
  10 personas",5 dormitorios,7 camas
63,27€ pers./noche (aprox),Llobera,"2 - 
  19 personas",3 dormitorios,14 camas
64,29€ pers./noche (aprox),Belianes,"10 - 
  16 personas",6 dormitorios,13 camas
65,31€ pers./noche (aprox),Preixens,12 personas,4 dormitorios,9 camas
66,27€ pers./noche (aprox),Llagunes,"2 - 
  26 personas",12 dormitorios,20 camas
67,27€ pers./noche (aprox),Navès,"8 - 
  11 personas",4 dormitorios,7 camas
68,33€ pers./noche (aprox),La Coma i la Pedra,"15 - 
  20 personas",7 dormitorios,15 camas
69,25€ pers./noche (aprox),La Seu d'Urgell,"5 - 
  17 personas",11 camas,25€ pers./noche (aprox)
70,16€ pers./noche (aprox),Civís,"5 - 
  10 personas",5 dormitorios,5 camas
71,40€ pers./noche (aprox),Vilanova de la Sal,Íntegro o habitaciones,"1 - 
  40 personas",7 dormitorios
72,25€ pers./noche (aprox),Palouet,10 personas,3 dormitorios,7 camas
73,48€ pers./noche (aprox),Ossó de Sió,"2 - 
  5 personas",2 dormitorios,3 camas
74,23€ pers./noche (aprox),Castellbò,"8 - 
  10 personas",5 dormitorios,10 camas
75,31€ pers./noche (aprox),Arànser,"2 - 
  21 personas",7 dormitorios,17 camas
76,25€ pers./noche (aprox),La Molsosa,17 personas,6 dormitorios,15 camas
77,25€ pers./noche (aprox),Guimerà,"9 - 
  15 personas",6 dormitorios,9 camas
78,28€ pers./noche (aprox),Lladurs,"4 - 
  26 personas",26 camas,28€ pers./noche (aprox)
79,22€ pers./noche (aprox),Raimat,32 personas,12 dormitorios,26 camas
80,24€ pers./noche (aprox),Montgai,"10 - 
  22 personas",8 dormitorios,19 camas
81,47€ pers./noche (aprox),Solsona,"2 - 
  10 personas",4 dormitorios,8 camas
82,35€ pers./noche (aprox),Tornabous,Íntegro o habitaciones,"6 - 
  15 personas",7 dormitorios
83,22€ pers./noche (aprox),Altron,"10 - 
  18 personas",7 dormitorios,13 camas
84,23€ pers./noche (aprox),Olius,"6 - 
  10 personas",5 dormitorios,8 camas
85,20€ pers./noche (aprox),Alins,"2 - 
  15 personas",8 dormitorios,13 camas
86,25€ pers./noche (aprox),Estac,"4 - 
  12 personas",5 dormitorios,8 camas
87,25€ pers./noche (aprox),Navès,"6 - 
  16 personas",5 dormitorios,13 camas
88,34€ pers./noche (aprox),Llobera,"18 - 
  27 personas",8 dormitorios,20 camas
89,25€ pers./noche (aprox),Cava,8 personas,3 dormitorios,6 camas
90,27€ pers./noche (aprox),Lladurs,"4 - 
  18 personas",8 dormitorios,18 camas
91,29€ pers./noche (aprox),Camarasa,"6 - 
  13 personas",6 dormitorios,9 camas
92,20€ pers./noche (aprox),Taüll,"4 - 
  5 personas",2 dormitorios,5 camas
93,19€ pers./noche (aprox),Tornafort,"4 - 
  10 personas",4 dormitorios,8 camas
94,34€ pers./noche (aprox),Canalda,"4 - 
  90 personas",74 camas,34€ pers./noche (aprox)
95,35€ pers./noche (aprox),Navès,31 personas,17 dormitorios,26 camas
96,22€ pers./noche (aprox),Roní,"4 - 
  25 personas",12 dormitorios,20 camas
97,20€ pers./noche (aprox),Talteüll,"12 - 
  19 personas",8 dormitorios,18 camas
98,34€ pers./noche (aprox),Sant Domí,"2 - 
  9 personas",3 dormitorios,9 camas
99,30€ pers./noche (aprox),Guixers,"4 - 
  8 personas",5 dormitorios,4 camas
100,37€ pers./noche (aprox),Altés,"4 - 
  20 personas",10 dormitorios,15 camas
101,38€ pers./noche (aprox),Montornès de Segarra,"2 - 
  20 personas",7 dormitorios,17 camas
102,20€ pers./noche (aprox),Vilagrasseta,"2 - 
  11 personas",4 dormitorios,8 camas
103,31€ pers./noche (aprox),Coscó,"4 - 
  14 personas",5 dormitorios,10 camas
104,25€ pers./noche (aprox),Navès,"4 - 
  10 personas",9 dormitorios,8 camas
105,22€ pers./noche (aprox),Ossó de Sió,"2 - 
  9 personas",4 dormitorios,6 camas
106,30€ pers./noche (aprox),Les Borges Blanques,"6 - 
  15 personas",3 dormitorios,13 camas
107,26€ pers./noche (aprox),Montmagastre,"4 - 
  18 personas",7 dormitorios,16 camas
108,20€ pers./noche (aprox),Navès,12 personas,5 dormitorios,10 camas
109,31€ pers./noche (aprox),Espot,"2 - 
  18 personas",9 dormitorios,14 camas
110,28€ pers./noche (aprox),Sant Esteve de la Sarga,"8 - 
  15 personas",6 dormitorios,11 camas
111,29€ pers./noche (aprox),Lladurs,"2 - 
  54 personas",40 camas,29€ pers./noche (aprox)
112,30€ pers./noche (aprox),Coscó,"1 - 
  21 personas",7 dormitorios,14 camas
113,24€ pers./noche (aprox),Sarroqueta de Barravés,"2 - 
  53 personas",12 dormitorios,39 camas
114,26€ pers./noche (aprox),Biosca,"12 - 
  17 personas",5 dormitorios,12 camas
115,17€ pers./noche (aprox),Ansovell,12 personas,4 dormitorios,8 camas
116,40€ pers./noche (aprox),Vallbona de les Monges,"2 - 
  8 personas",3 dormitorios,5 camas
117,37€ pers./noche (aprox),Taús,"2 - 
  23 personas",6 dormitorios,17 camas
118,26€ pers./noche (aprox),Castellar de la Ribera,"2 - 
  7 personas",3 dormitorios,5 camas
119,41€ pers./noche (aprox),Navès,"2 - 
  13 personas",6 dormitorios,11 camas
120,28€ pers./noche (aprox),Biosca,"4 - 
  38 personas",25 dormitorios,30 camas
121,28€ pers./noche (aprox),Florejacs,"12 - 
  18 personas",7 dormitorios,12 camas
122,26€ pers./noche (aprox),Tàrrega,"15 - 
  15 personas",6 dormitorios,12 camas
123,38€ pers./noche (aprox),Vilamajor,"6 - 
  6 personas",3 dormitorios,4 camas
124,22€ pers./noche (aprox),Ogern,"8 - 
  8 personas",4 dormitorios,7 camas
125,21€ pers./noche (aprox),Guimerà,"7 - 
  9 personas",4 dormitorios,7 camas
126,30€ pers./noche (aprox),Coll de Nargó,"1 - 
  8 personas",3 dormitorios,7 camas
127,29€ pers./noche (aprox),Oliola,"8 - 
  18 personas",7 dormitorios,14 camas
128,31€ pers./noche (aprox),Sant Esteve de la Sarga,"8 - 
  16 personas",5 dormitorios,13 camas
129,23€ pers./noche (aprox),La Baronia de Rialb,"2 - 
  12 personas",5 dormitorios,10 camas
130,23€ pers./noche (aprox),Montclar d'Urgell,"1 - 
  8 personas",4 dormitorios,6 camas
131,21€ pers./noche (aprox),Montcortès,"10 - 
  15 personas",7 dormitorios,13 camas
132,35€ pers./noche (aprox),Guixers,"2 - 
  24 personas",6 dormitorios,17 camas
133,25€ pers./noche (aprox),Montcortès,"2 - 
  14 personas",6 dormitorios,11 camas
134,26€ pers./noche (aprox),Agramunt,"2 - 
  15 personas",8 dormitorios,16 camas
135,37€ pers./noche (aprox),Os de Balaguer,"2 - 
  12 personas",37 dormitorios,9 camas
136,27€ pers./noche (aprox),Olius,10 personas,5 dormitorios,7 camas
137,22€ pers./noche (aprox),Cambrils,"2 - 
  8 personas",3 dormitorios,7 camas
138,22€ pers./noche (aprox),Estaràs,"14 - 
  18 personas",7 dormitorios,17 camas
139,47€ pers./noche (aprox),Sant Esteve de la Sarga,"2 - 
  10 personas",4 dormitorios,6 camas
140,34€ pers./noche (aprox),Alentorn,"8 - 
  12 personas",4 dormitorios,12 camas
141,38€ pers./noche (aprox),Betren,15 personas,5 dormitorios,15 camas
142,37€ pers./noche (aprox),Coscó,"6 - 
  10 personas",4 dormitorios,8 camas
143,20€ pers./noche (aprox),Castellnou de Seana,"1 - 
  11 personas",5 dormitorios,7 camas
144,27€ pers./noche (aprox),Lladurs,"2 - 
  46 personas",32 camas,27€ pers./noche (aprox)
145,35€ pers./noche (aprox),Clariana de Cardener,"2 - 
  20 personas",11 dormitorios,13 camas
146,29€ pers./noche (aprox),La Pobla de Segur,Íntegro o habitaciones,"2 - 
  16 personas",1 dormitorio
147,32€ pers./noche (aprox),Vilanova de Bellpuig,19 personas,7 dormitorios,14 camas
148,40€ pers./noche (aprox),L'Alzina,13 personas,5 dormitorios,8 camas
149,20€ pers./noche (aprox),Arfa,"5 - 
  11 personas",3 dormitorios,8 camas
150,25€ pers./noche (aprox),Salardú,"5 - 
  16 personas",6 dormitorios,12 camas
151,49€ pers./noche (aprox),El Vilosell,"6 - 
  6 personas",3 dormitorios,4 camas
152,26€ pers./noche (aprox),Hostafrancs,"4 - 
  13 personas",4 dormitorios,11 camas
153,28€ pers./noche (aprox),Ivars d'Urgell,"10 - 
  17 personas",8 dormitorios,13 camas
154,23€ pers./noche (aprox),Odèn,"12 - 
  15 personas",5 dormitorios,13 camas
155,29€ pers./noche (aprox),Lladrós,"4 - 
  21 personas",8 dormitorios,16 camas
156,30€ pers./noche (aprox),Àger,9 personas,4 dormitorios,6 camas
157,32€ pers./noche (aprox),Navès,11 personas,5 dormitorios,10 camas
158,37€ pers./noche (aprox),La Molsosa,"1 - 
  10 personas",6 dormitorios,8 camas
159,32€ pers./noche (aprox),Sarroqueta de Barravés,12 personas,6 dormitorios,6 camas
160,41€ pers./noche (aprox),Collmorter,"2 - 
  26 personas",8 dormitorios,16 camas
